SeqNo,pm_name,pm_Longitude,pm_Latitude,pm_unit,pm_location
436,龍生公園,121.5413970900,25.0260105130,青年公園管理所,和平東路二段175巷內
244,龍門公園,121.5366821300,25.0242595670,青年公園管理所,建國南路2段308巷
24,龍陣一號公園,121.5425415000,25.0275897980,青年公園管理所,復興南路2段180巷15弄
270,龍陣二號公園,121.5424881000,25.0292396550,青年公園管理所,瑞安街61號
237,龍圖公園,121.5416030900,25.0304908750,青年公園管理所,復興南路2段78巷42弄
965,龍鳳公園,121.5432735481,25.0256109235,青年公園管理所,復興南路二段、和平東路二段219巷口
779,臨江公園,121.5557403600,25.0281600950,青年公園管理所,基隆路2段132巷13號
964,麗水公園,121.5280876000,25.0319144700,青年公園管理所,金華街199巷9弄
550,大安125號綠地,121.5336837800,25.0444202420,園藝工程隊(南區分隊),八德路，中央圖書館台灣分館(國立台北工專前)
131,大安195號綠地,121.5314331100,25.0200195310,園藝工程隊(南區分隊),臺北市大安區溫州街58巷
269,黎和綠地,121.5605697600,25.0159301760,園藝工程隊(南區分隊),台北市大安區臥龍街324號
164,錦華綠地,121.5295791600,25.0295791630,園藝工程隊(南區分隊),金華街，永康街55巷交叉口
33,三張里公園,121.5667266800,25.0309295650,南港公園管理所,松平路77號旁
98,三犁公園,121.5700225800,25.0297794340,南港公園管理所,信義路五段150巷14弄旁
429,三興公園,121.5595474200,25.0285797120,南港公園管理所,吳興街156巷40弄與吳興街118巷間
197,中全公園,121.5748901400,25.0385894780,南港公園管理所,虎林街164巷與松德路邊
519,中興公園,121.5592498800,25.0342693330,南港公園管理所,基隆路一段380巷 與光復南路473巷旁
750,五分埔公園,121.5801010100,25.0469398500,南港公園管理所,中坡北路、松隆路口(松山車站前)
709,五常公園,121.5743408200,25.0476894380,南港公園管理所,松隆路272號與永吉路225巷邊
671,四育公園,121.5751419100,25.0467605590,南港公園管理所,虎林街50巷與永吉路321巷邊
571,永吉公園,121.5750427200,25.0435905460,南港公園管理所,永吉路278巷57弄內
559,永春公園,121.5791168200,25.0422992710,南港公園管理所,忠孝東路五段703巷1弄與松山路393巷
851,永春陂濕地公園,121.5800690000,25.0328120000,南港公園管理所,松山路松山家商旁
118,永春崗公園,121.5775909400,25.0317096710,南港公園管理所,信義區松山路656巷2號旁
508,交五,121.5741500900,25.0492095950,南港公園管理所,信義區市民大道六段（松信路至虎林街）
663,安強公園,121.5753402700,25.0366897580,南港公園管理所,虎林街202巷66弄
394,吳興公園,121.5679397600,25.0232906340,南港公園管理所,吳興街432巷114號
681,念儒公園,121.5737609900,25.0377197270,南港公園管理所,忠孝東路五段236巷37弄底
873,林口2號綠地(松光),121.5788200000,25.0399000000,園藝工程隊(南區分隊),松山路465巷
733,林口公園,121.5789489700,25.0390605930,南港公園管理所,松山路515巷
31,松友公園,121.5761489900,25.0339107510,南港公園管理所,信義路六段76巷2弄
378,松壽廣場,121.5660781900,25.0373897550,南港公園管理所,松智路右側(信義計畫區)
658,松德公園,121.5732879600,25.0360202790,南港公園管理所,信義區松德路180巷8之1號對面
222,虎林公園,121.5772934000,25.0314807890,南港公園管理所,信義路六段76巷8弄與松德路307巷
392,信義352號公園 (松智公園),121.5655136100,25.0358200070,園藝工程隊(南區分隊),信義區松智路1號
17,信義安康公園,121.5700683600,25.0357208250,南港公園管理所,信義區松勇路47號旁
339,春光公園,121.5807418800,25.0422306060,南港公園管理所,忠孝東路五段、林口街口
183,革新公園,121.5673675500,25.0438308720,南港公園管理所,基隆路一段109巷與松隆路邊
308,泰和公園,121.5681991600,25.0231399540,南港公園管理所,吳興街583巷與600巷67弄間
454,眷村文化公園,121.5617523200,25.0316390990,南港公園管理所,松勤路與莊敬路交口
664,富台公園,121.5722427400,25.0420703890,南港公園管理所,"松信路,虎林街120巷交叉口"
868,富生1號公園,121.5698486381,25.0422291931,南港公園管理所,永吉路30巷167弄底
869,富生2號公園,121.5696237077,25.0423805333,南港公園管理所,永吉路30巷157弄底
449,富生公園,121.5698471100,25.0420894620,南港公園管理所,永吉路30巷167弄底
615,惠安公園,121.5646209700,25.0245494840,南港公園管理所,吳興街320巷65號前
475,景平公園,121.5639419600,25.0298900600,南港公園管理所,莊敬路289巷口
575,景勤1號公園,121.5602569600,25.0263309480,南港公園管理所,吳興街220巷59弄旁(台北醫學院斜對)
241,景勤2號公園,121.5574874900,25.0260391240,南港公園管理所,信義區嘉興街181巷21號對面
563,象山公園,121.5700912500,25.0304107670,南港公園管理所,信義區信義路5段150巷
768,雅祥公園,121.5718307500,25.0475692750,南港公園管理所,松信路與基隆路一段35巷7弄邊
581,福祥公園,121.5705032300,25.0460395810,南港公園管理所,永吉路127巷與松隆路99號邊
395,福德公園,121.5818481400,25.0382404330,南港公園管理所,福德街與大道路口
404,黎忠公園,121.5593719500,25.0190792080,南港公園管理所,和平東路三段435巷7弄
111,黎富公園,121.5567016600,25.0210094450,南港公園管理所,富陽街92號前
583,黎雙公園,121.5634689300,25.0249805450,南港公園管理所,吳興街284巷22弄(北醫南側)
852,糶米公園,121.5724680000,25.0186140000,南港公園管理所,吳興街600巷旁
524,太子綠地,121.5770721400,25.0451908110,園藝工程隊(南區分隊),永吉路與虎林街交叉處
6,交六,121.5708694500,25.0493297580,南港公園管理所,市民大道6段(松信路至基隆路一段間)
375,松光綠地,121.5785293600,25.0394992830,園藝工程隊(南區分隊),台北市信義區松山路465巷4號
132,松隆綠地,121.5801086400,25.0349597930,園藝工程隊(南區分隊),松山商職西南側松山路650巷
213,信義350綠地,121.5625686600,25.0392303470,園藝工程隊(南區分隊),松高路及基隆路交叉
649,信義351號綠地,121.5654373200,25.0391807560,園藝工程隊(南區分隊),松高路本線基隆路口至松仁路口
425,信義353號綠地 (松仁綠地),121.5677185100,25.0327491760,園藝工程隊(南區分隊),信義路五段南側與松仁路西側間
101,信義354號綠地,121.5684204100,25.0294609070,園藝工程隊(南區分隊),松仁路東側，信義路北側
714,信義355號綠地,121.5683364900,25.0308990480,園藝工程隊(南區分隊),松仁路東側、信義路五段南側
179,信義356號綠地,121.5737075800,25.0333805080,園藝工程隊(南區分隊),信義路五段北側、松德路西側
153,信義382號綠地 (惠安水與綠生活綠地),121.5682373000,25.0233592990,園藝工程隊(南區分隊),吳興街432巷37弄
582,崇德綠地,121.5554504400,25.0242195130,園藝工程隊(南區分隊),台北市信義區嘉興街270號
264,黎平綠地,121.5571212800,25.0231895450,園藝工程隊(南區分隊),臺北市崇德街146巷17號
23,市民廣場,121.5627517700,25.0366401670,南港公園管理所,信義區市府路1號對面
149,忠信廣場,121.5679092400,25.0405406950,南港公園管理所,忠孝東路與松仁路交叉口(信義計畫區)
83,信義20號廣場,121.5775833100,25.0487499240,園藝工程隊(南區分隊),市民大道與松隆路及松山路
605,信義21號廣場,121.5644683800,25.0347309110,園藝工程隊(南區分隊),信義計畫、市府路
481,信義廣場,121.5660400400,25.0334796910,南港公園管理所,松智路與信義路交叉口(信義計畫區)
45,厚生廣場,121.5680999800,25.0434093480,園藝工程隊(南區分隊),永吉路30巷102弄與松隆路旁
740,景聯廣場,121.5614013700,25.0325202940,園藝工程隊(南區分隊),臺北市吳興街7巷
539,三重世貿公園,121.6153869600,25.0579299930,南港公園管理所,南港區經貿二路106巷
309,中南公園,121.6154708900,25.0512199400,南港公園管理所,忠孝東路七段596巷中南社區東側山坡上
601,中研公園,121.6130523700,25.0468902590,南港公園管理所,南港區研究路2段12巷58弄
231,中興公園,121.6148529100,25.0442008970,南港公園管理所,研究院路二段98巷
473,六福公園,121.6165084800,25.0472602840,南港公園管理所,研究院路二段35巷23弄
616,四分河濱公園,121.6156921400,25.0486297610,南港公園管理所,南港區研究院路2段2巷54弄
774,市民公園,121.5817337000,25.0492897030,南港公園管理所,玉成街38巷東北側，東新街12巷南側
630,玉成公園,121.5855026200,25.0425491330,南港公園管理所,南港區中坡南路55號
791,玉東公園,121.5841560000,25.0501880000,南港公園管理所,東新街與市民大道交叉口
683,合成18號綠園,121.5829162600,25.0462608340,園藝工程隊(東區分隊),臺北市忠孝東路6段玉成街口至東新街口
460,合成8號綠園,121.5937881500,25.0508308410,園藝工程隊(東區分隊),臺北市南港區東新街至忠孝東路6段449號
474,合成公園,121.5811386100,25.0450992580,南港公園管理所,永吉路536巷與中坡北路交叉口
233,合樂公園,121.5818862900,25.0485000610,南港公園管理所,玉成街(原南隆鐵工廠)
96,百福公園,121.5885391200,25.0379390720,南港公園管理所,福德街309巷19號對面
366,幸福公園,121.6160507200,25.0460205080,南港公園管理所,研究院路二段35巷旁交通資訊:公車圓拱橋站步行約3分鐘
255,昆陽公園,121.5942001300,25.0487194060,南港公園管理所,昆陽街171巷1-5弄東側、龍華路南側
401,東坡公園,121.5933075000,25.0452308650,南港公園管理所,東新街170巷5號後側
292,東明公園,121.6036377000,25.0548000340,南港公園管理所,南港路二段86巷9弄
730,東陽公園,121.6037368800,25.0574398040,南港公園管理所,臺北市南港區重陽路187巷旁
48,南汐公園,121.6176910400,25.0546798710,南港公園管理所,南港路一段與研究路一段交叉口
297,南港公園,121.5919113200,25.0430698390,南港公園管理所,南港區東新街170之1號
126,南興公園,121.6069030800,25.0540199280,南港公園管理所,南港路一段360號南側交通資訊:公車南港行政中心站旁，或捷運南港站、臺鐵南港站步行約5分鐘
359,後山埤公園,121.5899505600,25.0437107090,南港公園管理所,南港區東新街170之1號
283,胡適公園,121.6179122900,25.0399208070,南港公園管理所,南港區研究院路2段130號對面
516,重陽公園,121.5991516100,25.0562000270,南港公園管理所,臺北市南港區重陽路120號旁交通資訊:公車中國電視公司站旁
198,理想公園,121.6215896600,25.0398693080,南港公園管理所,舊莊街一段145巷6弄28號交通資訊:公車舊莊國小站步行約3分鐘
492,瓶蓋印象公園,121.6062260000,25.0537190000,南港公園管理所,南港區興華路、市民大道口
12,港後公園,121.6153793300,25.0627498630,南港公園管理所,臺北市南港區經貿二路255巷交通資訊:公車南港軟體園區北站步行約3分鐘，或捷運南港展覽館站步行約15
86,湧聲公園,121.5927581800,25.0432796480,南港公園管理所,東新街170巷(自辦重劃區)
134,新勝公園,121.5931625400,25.0488491060,南港公園管理所,昆陽街152巷33號
327,新富公園,121.6169586200,25.0530300140,南港公園管理所,研究院路一段65巷交通資訊:誠正國中公車站步行約3分鐘，或捷運南港展覽館站步行約10分鐘
790,新新公園,121.5887520000,25.0513910000,南港公園管理所,南港路三段109巷南側
406,萬福公園,121.5844497700,25.0462493900,南港公園管理所,忠孝東路六段70巷10號對面
744,經貿公園,121.6163635300,25.0625801090,南港公園管理所,臺北市南港區經園街66號前 交通資訊:公車南港軟體園區北站步行約3分鐘，或捷運南港展覽館站步行約15
494,福山公園,121.6178512600,25.0447006230,南港公園管理所,研究院路二段61巷1弄16號交通資訊：公車中研院站步行約3分鐘
266,興南公園,121.5973968500,25.0551204680,南港公園管理所,興南街與重陽路交叉口交通資訊:搭乘公車紅32605副線至興華路站步行約3分鐘即可到達搭乘捷運捷運至捷
116,興華公園,121.6047897300,25.0567703250,南港公園管理所,興華路114巷交通資訊:公車興華路站步行約3分鐘，或捷運南港站、臺鐵南港站步行約15分鐘
